Timestamp,Station ID,PM2.5_Forecast_+1h,PM2.5_Forecast_+6h,PM2.5_Forecast_+12h,PM2.5_Forecast_+24h,PM2.5_Forecast_+48h,PM2.5_Forecast_+72h,PM10_Forecast_+1h,PM10_Forecast_+6h,PM10_Forecast_+12h,PM10_Forecast_+24h,PM10_Forecast_+48h,PM10_Forecast_+72h,NO2_Forecast_+1h,NO2_Forecast_+6h,NO2_Forecast_+12h,NO2_Forecast_+24h,NO2_Forecast_+48h,NO2_Forecast_+72h,SO2_Forecast_+1h,SO2_Forecast_+6h,SO2_Forecast_+12h,SO2_Forecast_+24h,SO2_Forecast_+48h,SO2_Forecast_+72h,CO_Forecast_+1h,CO_Forecast_+6h,CO_Forecast_+12h,CO_Forecast_+24h,CO_Forecast_+48h,CO_Forecast_+72h,O3_Forecast_+1h,O3_Forecast_+6h,O3_Forecast_+12h,O3_Forecast_+24h,O3_Forecast_+48h,O3_Forecast_+72h,NH3_Forecast_+1h,NH3_Forecast_+6h,NH3_Forecast_+12h,NH3_Forecast_+24h,NH3_Forecast_+48h,NH3_Forecast_+72h
2025-12-29 10:00:00+00:00,site_124,191.93863,219.55687,283.81262,211.70851,209.8754,211.48752,273.11304,319.2211,401.1269,316.95377,298.7162,305.75595,40.127457,41.136036,44.150845,38.673054,46.680634,40.856342,7.5140667,9.284692,16.0252,10.865115,11.203578,10.180695,0.72053665,0.72194433,1.6088585,1.0180156,0.7965668,0.9412669,10.382235,35.748,6.0900836,10.935228,16.203056,13.764727,34.62287,39.868813,40.891575,32.756077,32.90336,30.209562
2025-12-29 11:00:00+00:00,site_124,191.8427,219.1062,268.76965,230.01018,225.89633,207.84569,277.96527,275.7336,353.156,328.55035,315.8804,301.68417,43.033756,55.133633,42.351013,45.132877,47.938713,39.770123,7.991181,9.433288,17.019302,11.706294,11.956965,12.249768,0.63235754,0.88028425,1.5057648,0.8517643,0.85941267,0.91719085,18.401834,35.25451,8.273602,21.603838,27.382187,33.13294,30.72957,36.298634,35.5159,31.297638,29.952526,26.318518
2025-12-29 12:00:00+00:00,site_124,196.19978,236.1522,249.40726,254.45734,248.15567,215.82005,255.99535,316.6799,349.90887,334.06693,359.64655,306.1495,35.50325,47.35588,24.240635,42.431404,41.15797,35.59936,8.014816,13.282175,17.698542,12.045799,13.812896,13.89281,0.42407316,1.3763218,1.3570007,0.76308936,0.7515443,0.7465603,29.986034,9.310261,8.269383,36.147045,49.293205,53.832275,27.04867,32.466526,32.33358,29.814375,27.512953,23.641916
2025-12-29 13:00:00+00:00,site_124,216.41504,280.8743,259.9865,277.98514,265.5253,229.11671,273.4958,379.76816,384.7867,356.23975,362.76324,337.42874,34.27829,44.07022,27.2298,45.08068,41.917137,37.409164,6.383494,14.098262,17.118387,10.316676,13.159877,14.203166,0.53321403,1.8486037,1.3158965,0.9260928,0.8406766,0.8825812,47.0884,9.977933,12.639435,44.219887,46.079185,51.224606,35.129673,40.149635,38.405056,36.40868,30.186226,26.178732
2025-12-29 14:00:00+00:00,site_124,216.46785,299.94623,232.22496,266.36703,251.57275,221.32173,280.19202,441.49265,362.7135,375.7656,364.4501,370.631,36.9564,41.40459,30.436481,44.451355,45.836903,39.677586,6.9767876,18.363249,17.102024,11.599075,12.059997,11.964031,0.5861438,2.1233811,1.0706925,0.88737404,0.7970496,0.8140257,47.955067,8.178784,15.605991,45.549255,51.89277,60.986107,39.111828,42.991753,33.570347,37.22126,34.48233,29.466621
2025-12-29 15:00:00+00:00,site_124,209.56589,327.07123,223.27342,294.56012,242.61533,215.35603,277.73325,479.71027,319.98294,361.0255,327.5785,336.18106,56.687386,46.20476,35.600487,51.076336,49.96047,43.02773,6.4759417,21.779137,14.742048,10.540466,10.722747,11.661267,0.7632711,2.305177,1.2564913,0.9367893,0.79756236,0.9270937,34.8298,9.192913,11.6690445,46.129158,52.716335,50.996517,44.54283,47.423702,34.29642,41.208717,36.83164,29.762505
2025-12-29 16:00:00+00:00,site_124,223.31364,341.9119,216.11249,236.78217,233.30235,204.59741,312.8255,497.38608,311.92056,369.059,317.82684,325.44247,60.605465,45.218227,35.85882,56.022583,53.22774,46.21571,5.583994,20.31514,13.431393,10.107829,11.58172,13.716044,1.2187276,2.1771388,1.1840276,0.8568384,0.8223075,0.8412848,18.845514,8.022313,12.525891,44.798294,43.337406,42.749752,43.53195,45.032745,33.524414,39.197613,37.451668,31.382774
2025-12-29 17:00:00+00:00,site_124,237.5443,346.729,228.75356,243.5401,218.1533,192.34583,330.4024,471.31555,338.9477,361.41687,323.74203,303.0506,74.832504,41.308945,41.101845,72.89878,68.98107,53.84305,9.420051,21.035528,11.441474,11.234145,13.02717,14.398651,1.5883709,2.0766158,1.2710233,1.3796921,1.1422132,1.184054,12.272853,10.098074,12.29029,19.431866,20.93424,16.438189,42.25365,42.860195,39.058506,39.64347,37.578697,29.796785
2025-12-29 18:00:00+00:00,site_124,246.31905,293.03683,221.50076,269.99933,219.3472,187.32973,376.2994,427.09842,331.33844,401.50293,334.32236,290.5496,54.450844,41.643158,37.13732,63.427933,59.081345,50.434906,8.808044,12.5246525,14.774218,11.861297,11.853368,16.355282,1.5347058,1.7372625,1.3079871,1.8771793,1.4654667,1.237365,1.7342807,6.0810933,7.826597,5.4510145,4.64612,4.8872666,42.245705,42.10816,38.54709,40.689472,37.877525,32.175957
2025-12-29 19:00:00+00:00,site_124,254.47975,256.58826,227.74431,290.81192,234.8857,224.38501,361.4809,334.411,350.27527,417.59888,393.49377,359.46555,44.721085,31.392244,40.318897,50.039433,51.04844,46.380146,8.99237,10.757169,10.022641,16.0704,14.869806,14.9273405,2.070704,1.4294541,1.5591004,1.902134,1.8536294,1.6324263,1.9237036,5.3377724,8.880025,5.784239,2.2503068,4.249961,39.18076,39.29048,38.472404,39.969006,40.305927,33.34172
