Pollutant,Horizon_h,Train_Samples,Validation_Samples,Test_Samples,Validation_MAE,Validation_RMSE,Validation_R2,Test_MAE,Test_RMSE,Test_R2
NO2,24,365405,126005,125517,13.45203216682207,19.888024056274084,0.5684240457023174,12.19160614767897,17.406276105406747,0.6734826018050317
NO2,48,365422,126007,125170,14.69173241307157,21.35939649058159,0.5016992493348096,13.581920008971109,19.186586333382984,0.604085828209589
NO2,72,365494,126007,124822,15.544901195455898,22.516786020153845,0.447096406378375,14.233602509789408,19.99184587201215,0.5700079523840178
SO2,1,363746,125537,124508,2.2872500176933173,5.066165070981484,0.7806300079599879,2.1097587845375796,4.744828626279142,0.7733723908684634
SO2,6,363746,125538,124444,4.677334815227822,8.415045241890043,0.39483770697324294,4.479965504489997,8.033184998599085,0.3503647640447157
SO2,12,363750,125537,124357,5.073772697056282,8.956715996066535,0.31451206241661334,4.913823736731454,8.561245637914068,0.262186245911875
SO2,24,363764,125540,124177,4.575172424477455,8.445303135334825,0.39067257387668397,4.477894617411167,7.984419538770665,0.3584599188549269
SO2,48,363780,125543,123830,4.920007222474903,8.87843591536369,0.3259332763225471,4.8865741852949744,8.495801464672795,0.27370747803144735
SO2,72,363859,125536,123489,5.083332307935167,9.100202430920595,0.2936046783393971,5.144304431070446,8.804727707548242,0.2183335095407628
CO,1,356838,125252,123871,0.19898116612167516,0.381058114325376,0.8470724668393167,0.19701376257509828,0.3912365947469842,0.8632505067898009
CO,6,356840,125255,123808,0.40109580883580015,0.6645192153635148,0.5349981945358031,0.43551756834713845,0.7408656612297874,0.5097879101706488
CO,12,356845,125257,123718,0.4463067738444683,0.7127454702287761,0.46511053956557513,0.4852467086565526,0.7944696582125506,0.4366107907536044
CO,24,356862,125259,123538,0.4341368095135067,0.7155006781310331,0.46111050882731075,0.4628813450597716,0.765406462249957,0.4776249401903476
CO,48,356898,125263,123191,0.4799294208438775,0.7674491925860017,0.3806661642543945,0.5069308350295443,0.8209267200659398,0.3997107172575056
CO,72,356982,125262,122847,0.4914945756828847,0.7807777496042667,0.36372597361836556,0.5205224166751662,0.8392946929125858,0.3691367064411891
O3,1,360397,120246,122796,8.01816809277898,14.065651827881723,0.8899782110404998,7.54557313812151,12.990672206409744,0.9136864848182036
O3,6,360390,120246,122738,16.66149277452658,25.95349929389816,0.6254178419084632,15.87605332429724,24.57168020880559,0.6912528652187973
O3,12,360391,120249,122651,18.870678763747836,28.77757038943278,0.5393717431409095,18.176336866923286,27.708809866541625,0.6075819162105809
O3,24,360408,120244,122478,14.980555709081475,23.058516834546012,0.7042335350530348,14.328643885012683,22.08311216157346,0.7509710001555329
O3,48,360424,120233,122143,16.473281325781123,24.86771704936689,0.6558498474747595,15.898033208510187,24.0556094074632,0.7050067008410938
O3,72,360477,120227,121818,16.96248091006635,25.417762064162318,0.6406436936603078,16.72342612268268,25.14302057759426,0.678016575349639
NH3,1,364872,125289,125149,3.944725813401837,7.874892108613768,0.8476681066089086,3.4329596655464822,6.491325978019008,0.9119687341110583
NH3,6,364872,125291,125084,8.011848395020701,13.0416838183285,0.5821542590835844,7.267728567117821,11.226529190538644,0.7367139045428195
NH3,12,364876,125293,124994,9.34024538863919,14.415468760552999,0.4896299105096312,8.533883137383027,12.741725994732633,0.660893578260931
NH3,24,364890,125295,124814,7.864007353581016,13.017562550094748,0.5842427035442076,7.222904762725168,11.767546133059719,0.710702318523263
NH3,48,364909,125300,124467,9.638069879746492,14.857799366471541,0.4625232272084988,9.044978614830892,13.776787317018192,0.6012757095110448
NH3,72,364975,125305,124119,10.952881897496484,16.255555872082372,0.3671688538014257,10.272481867428894,15.1775429235688,0.5090047074122641
